Valid,Rate,Frequency,Percent,Valid Percent,Cumulative Percent
,643.1,1,.0,.0,39.1
,643.3,1,.0,.0,39.1
,643.4,2,.1,.1,39.2
,643.6,1,.0,.0,39.2
,644.0,1,.0,.0,39.3
,644.2,1,.0,.0,39.3
,644.8,1,.0,.0,39.3
,644.9,2,.1,.1,39.4
,645.1,1,.0,.0,39.4
,645.2,1,.0,.0,39.5
,645.3,2,.1,.1,39.5
,645.4,1,.0,.0,39.6
,645.6,3,.1,.1,39.7
,645.7,1,.0,.0,39.7
,645.8,1,.0,.0,39.7
,646.0,2,.1,.1,39.8
,646.1,2,.1,.1,39.8
,646.3,1,.0,.0,39.9
,646.4,2,.1,.1,39.9
,646.5,2,.1,.1,40.0
,646.7,2,.1,.1,40.1
,646.9,2,.1,.1,40.1
,647.1,2,.1,.1,40.2
,647.2,2,.1,.1,40.3
,647.6,1,.0,.0,40.3
,647.7,2,.1,.1,40.4
,647.8,1,.0,.0,40.4
,647.9,2,.1,.1,40.5
,648.1,1,.0,.0,40.5
,648.2,1,.0,.0,40.5
,648.3,1,.0,.0,40.6
,648.5,1,.0,.0,40.6
,648.6,1,.0,.0,40.6
,648.7,1,.0,.0,40.7
,648.8,1,.0,.0,40.7
,649.0,2,.1,.1,40.7
,649.1,1,.0,.0,40.8
,649.3,1,.0,.0,40.8
,649.4,1,.0,.0,40.8
,649.5,1,.0,.0,40.9
,649.8,1,.0,.0,40.9
,649.9,2,.1,.1,41.0
,650.1,1,.0,.0,41.0
,650.2,1,.0,.0,41.0
,650.5,2,.1,.1,41.1
,650.6,2,.1,.1,41.2
,650.8,1,.0,.0,41.2
,650.9,1,.0,.0,41.2
,651.0,3,.1,.1,41.3
,651.2,1,.0,.0,41.4
,651.3,2,.1,.1,41.4
,651.4,1,.0,.0,41.5
,651.5,1,.0,.0,41.5
,651.6,1,.0,.0,41.5
,651.8,1,.0,.0,41.6
,651.9,2,.1,.1,41.6
,652.0,1,.0,.0,41.7
,652.1,3,.1,.1,41.7
,652.2,3,.1,.1,41.8
,652.3,1,.0,.0,41.9
,652.6,1,.0,.0,41.9
,652.7,1,.0,.0,41.9
,652.8,1,.0,.0,42.0
,653.0,1,.0,.0,42.0
,653.1,2,.1,.1,42.1
,653.2,3,.1,.1,42.2
,653.5,1,.0,.0,42.2
,653.6,1,.0,.0,42.2
,654.0,2,.1,.1,42.3
,654.3,2,.1,.1,42.4
,654.5,1,.0,.0,42.4
,654.6,1,.0,.0,42.4
,654.7,2,.1,.1,42.5
,654.8,1,.0,.0,42.5
,655.0,2,.1,.1,42.6
,655.1,3,.1,.1,42.7
,655.3,1,.0,.0,42.7
,655.4,1,.0,.0,42.7
,655.6,2,.1,.1,42.8
