"","County","CountyCode","Deaths","Population","Crude","ageadjustedrate","PCT_CVD_death","Quintiles"
"606","St. Lawrence County, NY",36089,2018,276449,730,"750.4",0.2641,"1"
"607","Pitkin County, CO",8097,61,48027,127,"211.5",0.2644,"1"
"608","Nash County, NC",37127,1663,249658,666.1,"711.4",0.2668,"1"
"609","Midland County, MI",26111,1326,222254,596.6,"576.1",0.2684,"1"
"610","Macon County, IL",17115,2347,295562,794.1,"713.3",0.2687,"1"
"611","Daviess County, KY",21059,1648,247580,665.6,"648.6",0.2688,"1"
"612","Cape May County, NJ",34009,2587,310058,834.4,"722.5",0.2691,"1"
"613","Clinton County, NY",36019,1182,209576,564,"620.3",0.2691,"1"
"614","Morgan County, AL",1103,2497,304542,819.9,"892.1",0.2692,"1"
"615","Whitfield County, GA",13313,1296,219290,591,"669.9",0.2695,"1"
"616","Bonneville County, ID",16019,1260,216147,582.9,"605.3",0.2697,"1"
"617","Rockingham County, VA",51165,1155,206080,560.5,"530.2",0.272,"1"
"618","Tompkins County, NY",36109,1185,208317,568.8,"552.7",0.273,"1"
"619","Sevier County, TN",47155,1701,249319,682.3,"771.1",0.2737,"1"
"620","Josephine County, OR",41033,1917,264349,725.2,"604.1",0.2743,"1"
"621","Cache County, UT",49005,772,167575,460.7,"483.2",0.2749,"1"
"622","Delaware County, IN",18035,2083,275023,757.4,"698.2",0.2754,"1"
"623","La Plata County, CO",8067,488,133053,366.8,"467.8",0.2757,"1"
"624","Burke County, NC",37023,1709,248617,687.4,"699.7",0.2765,"1"
"625","Rockingham County, NC",37157,1904,262317,725.8,"732.3",0.2767,"#NULL!"
"626","Chatham County, NC",37037,1073,196908,544.9,"482.4",0.2767,"2"
"627","Campbell County, KY",21037,1344,219927,611.1,"652.1",0.2779,"2"
"628","Manitowoc County, WI",55071,1522,233980,650.5,"580.9",0.278,"2"
"629","Taylor County, TX",48441,2316,288500,802.8,"758.3",0.2783,"2"
"630","Lafourche Parish, LA",22057,1475,230002,641.3,"708.4",0.2788,"2"
"631","Terrebonne Parish, LA",22109,1813,254807,711.5,"849",0.2792,"2"
"632","Glynn County, GA",13127,1244,210855,590,"609.5",0.2798,"2"
"633","Lenawee County, MI",26091,1934,262870,735.7,"741.5",0.2799,"2"
"634","Lewis and Clark County, MT",30049,855,174743,489.3,"522.9",0.28,"2"
"635","Cascade County, MT",30013,1235,209820,588.6,"554.1",0.2805,"2"
"636","Gregg County, TX",48183,2229,280775,793.9,"763.7",0.2828,"2"
"637","LaSalle County, IL",17099,2680,307196,872.4,"763.9",0.284,"2"
"638","Lincoln County, NC",37109,1239,208423,594.5,"740.8",0.2852,"2"
"639","Ector County, TX",48135,2209,278891,792.1,"929.2",0.284,"2"
"640","Dubuque County, IA",19061,1673,242043,691.2,"619.6",0.2856,"2"
"641","Newton County, GA",13217,1310,214140,611.7,"752.6",0.2857,"2"
"642","Bastrop County, TX",48021,1000,186938,534.9,"655.1",0.2861,"2"
