"","County","CountyCode","Deaths","Population","Crude","ageadjustedrate","PCT_CVD_death","Quintiles"
"702","Tuscarawas County, OH",39157,1997,251830,793,"724.2",0.3149,"2"
"703","Klamath County, OR",41035,1073,184425,581.8,"583",0.3155,"2"
"704","Limestone County, AL",1083,1395,209970,664.4,"805.4",0.3164,"2"
"705","Sullivan County, NY",36105,1433,212240,675.2,"762.5",0.3181,"2"
"706","Clearfield County, PA",42033,1728,232798,742.3,"673.5",0.3189,"2"
"707","Taos County, NM",35055,330,101647,324.7,"353.1",0.3194,"2"
"708","Routt County, CO",8107,111,58925,188.4,"347.1",0.3197,"2"
"709","Chemung County, NY",36015,1816,237913,763.3,"697",0.3208,"2"
"710","Granville County, NC",37077,737,151553,486.3,"575.4",0.3209,"2"
"711","Lawrence County, PA",42073,2224,263114,845.3,"690.9",0.3213,"2"
"712","Wilson County, NC",37195,1386,207665,667.4,"682.5",0.3214,"2"
"713","Cole County, MO",29051,1106,185453,596.4,"633.5",0.3216,"2"
"714","Putnam County, FL",12107,1482,214630,690.5,"661.1",0.3217,"2"
"715","Jasper County, MO",29097,2282,266261,857.1,"847.9",0.3219,"2"
"716","Jefferson County, NY",36045,1853,239965,772.2,"787.6",0.3218,"2"
"717","Monongalia County, WV",54061,1161,189844,611.6,"655.6",0.3222,"2"
"718","Van Buren County, MI",26159,1289,199974,644.6,"712.2",0.3223,"2"
"719","Northumberland County, PA",42097,2400,272681,880.1,"761.5",0.3228,"2"
"720","Kosciusko County, IN",18085,1185,191468,618.9,"661.9",0.3232,"2"
"721","Rice County, MN",27131,717,148868,481.6,"478.4",0.3235,"2"
"722","Potter County, TX",48375,2070,252746,819,"847.3",0.324,"2"
"723","Livingston County, NY",36051,944,169822,555.9,"570.1",0.3273,"2"
"724","Lancaster County, SC",45057,1401,206860,677.3,"722.1",0.3274,"2"
"725","St. Clair County, AL",1115,1458,210801,691.6,"821.4",0.3281,"2"
"726","Vigo County, IN",18167,2103,253075,831,"793.3",0.3284,"2"
"727","Washington County, VT",50023,926,166933,554.7,"575.3",0.3323,"2"
"728","Hancock County, ME",23009,989,172276,574.1,"570.3",0.3332,"2"
"729","Wagoner County, OK",40145,1080,179605,601.3,"755.5",0.3348,"2"
"730","Story County, IA",19169,870,161703,538,"489.5",0.3327,"2"
"731","Wicomico County, MD",24045,1850,234949,787.4,"799.7",0.3351,"2"
"732","Madison County, KY",21151,1109,181904,609.7,"671.4",0.3352,"2"
"733","Grays Harbor County, WA",53027,1379,201987,682.7,"698.6",0.338,"2"
"734","Warrick County, IN",18173,828,156484,529.1,"578.8",0.3381,"2"
"735","Franklin County, VA",51067,955,167797,569.1,"614.8",0.3392,"2"
"736","Franklin County, NC",37069,829,156178,530.8,"616.2",0.3399,"2"
"737","Lewis County, WA",53041,1501,210101,714.4,"676",0.34,"2"
"738","Muskingum County, OH",39119,1695,223243,759.3,"729",0.3401,"2"
"739","Howard County, IN",18067,1694,224157,755.7,"730.4",0.3371,"2"
"740","Twin Falls County, ID",16083,1073,178355,601.6,"563.4",0.3373,"2"
"741","Douglas County, NV",32005,811,154207,525.9,"534.9",0.341,"2"
"742","Belknap County, NH",33001,1109,181782,610.1,"609.8",0.3356,"2"
"743","Washington County, NY",36115,1034,173515,595.9,"605",0.3434,"2"
"744","Clarke County, GA",13059,1170,184649,633.6,"643.4",0.3431,"2"
"745","Queen Anne's County, MD",24035,641,136427,469.8,"554.8",0.3444,"2"
"746","Umatilla County, OR",41059,1070,175811,608.6,"613.4",0.3462,"2"
"747","Bartholomew County, IN",18005,1233,190303,647.9,"667.1",0.3405,"2"
"748","Pittsylvania County, VA",51143,1233,188407,654.4,"685.1",0.3473,"2"
"749","Hunt County, TX",48231,1624,216158,751.3,"806.2",0.3476,"2"
"750","Rutland County, VT",50021,1163,182852,636,"627.8",0.3478,"2"
"751","Floyd County, IN",18043,1277,191522,666.8,"729.8",0.3482,"2"
"752","Surry County, NC",37171,1409,201063,700.8,"671.5",0.3485,"2"
"753","Barry County, MI",26015,928,163015,569.3,"638.6",0.3492,"2"
"754","Coos County, OR",41011,1404,200455,700.4,"640.7",0.3494,"2"
"755","Etowah County, AL",1055,2647,275067,962.3,"972.3",0.3498,"2"
"756","Elbert County, CO",8039,169,69279,243.9,"420.4",0.3521,"2"
"757","Floyd County, GA",13115,1930,233907,825.1,"822.4",0.3527,"2"
"758","Ross County, OH",39141,1424,200776,709.2,"809.7",0.3532,"2"
"759","Walton County, FL",12131,929,162057,573.3,"636.5",0.3538,"2"
"760","Morgan County, IN",18109,1154,180258,640.2,"790.3",0.3552,"2"
"761","Chippewa County, WI",55017,978,165750,590,"579.7",0.356,"2"
"762","Bradford County, PA",42015,1164,180670,644.3,"609.5",0.3566,"2"
"763","Kershaw County, SC",45055,970,164718,588.9,"650.5",0.3575,"2"
"764","Somerset County, PA",42111,1893,230100,822.7,"701.5",0.3575,"2"
"765","Montgomery County, VA",51121,1045,170811,611.8,"633.3",0.3582,"2"
"766","San Benito County, CA",6069,541,122750,440.7,"529.8",0.359,"2"
"767","Georgetown County, SC",45043,1261,187024,674.2,"683",0.3605,"2"
"768","Portsmouth city, VA",51740,1784,222126,803.1,"771.2",0.3616,"2"
"769","Lake County, CA",6033,1375,194791,705.9,"711.2",0.3624,"2"
"770","Hancock County, OH",39063,1317,190625,690.9,"660.4",0.3624,"2"
"771","Walker County, TX",48471,795,148083,536.9,"654.8",0.3626,"2"
"772","Anderson County, TN",47001,1655,213043,776.8,"699.6",0.3646,"2"
"773","Roanoke city, VA",51770,2163,243331,888.9,"823.9",0.3653,"2"
"774","Pender County, NC",37141,776,145731,532.5,"590.4",0.3654,"2"
"775","Columbia County, OR",41009,674,135572,497.2,"567.3",0.3667,"2"
"776","Tuolumne County, CA",6109,1118,174574,640.4,"588.5",0.3668,"2"
"777","Craighead County, AR",5031,1629,210481,773.9,"794.2",0.3677,"2"
"778","Raleigh County, WV",54081,1684,213720,787.9,"777.3",0.3687,"2"
"779","Elmore County, AL",1051,1341,190487,704,"837.6",0.3696,"2"
"780","Lowndes County, GA",13185,1616,209014,773.2,"876.8",0.3699,"2"
"781","Tehama County, CA",6103,1038,167427,620,"625.2",0.3703,"2"
"782","Columbia County, WI",55021,867,152943,566.9,"582.5",0.3707,"2"
"783","Dougherty County, GA",13095,1616,208256,776,"796.9",0.3726,"2"
"784","Santa Cruz County, AZ",4023,463,111404,415.6,"452.2",0.3731,"2"
"785","Reno County, KS",20155,1090,170764,638.3,"529.9",0.3738,"2"
"786","Park County, CO",8093,109,53983,201.9,"371.6",0.374,"2"
"787","Marquette County, MI",26103,1165,176147,661.4,"640",0.3755,"2"
"788","Catoosa County, GA",13047,961,159610,602.1,"668",0.3772,"2"
"789","Shiawassee County, MI",26155,1322,186696,708.1,"751.4",0.3793,"2"
"790","Wood County, WV",54107,2233,242553,920.6,"918.6",0.3795,"2"
"791","Marshall County, AL",1095,2058,232755,884.2,"926.1",0.3799,"2"
"792","Cumberland County, TN",47035,1333,187271,711.8,"644.9",0.3801,"2"
"793","Columbia County, NY",36021,1423,193367,735.9,"703.8",0.3806,"2"
"794","Loudon County, TN",47105,897,153484,584.4,"564.6",0.3808,"2"
"795","Calaveras County, CA",6009,902,153849,586.3,"607.8",0.3811,"2"
"796","Bannock County, ID",16005,1134,172490,657.4,"690.6",0.3811,"2"
"797","Ionia County, MI",26067,873,150593,579.7,"701.4",0.3849,"2"
"798","Orange County, TX",48361,1648,206649,797.5,"851.2",0.3859,"2"
"799","Otero County, NM",35035,931,155161,600,"608.9",0.3867,"2"
"800","Henderson County, TX",48213,1963,225322,871.2,"842.3",0.3866,"2"
"801","Hall County, NE",31079,744,138648,536.6,"495",0.387,"2"
"802","Buchanan County, MO",29021,1809,216186,836.8,"791.6",0.3871,"2"
"803","Washington County, OH",39167,1207,176572,683.6,"661.4",0.3872,"2"
"804","Putnam County, WV",54079,873,149914,582.3,"669.2",0.3884,"2"
"805","Columbia County, FL",12023,1235,178226,692.9,"722.8",0.3888,"2"
"806","Talladega County, AL",1121,1726,210683,819.2,"886.2",0.3888,"2"
"807","Otter Tail County, MN",27111,1243,178757,695.4,"568.8",0.389,"2"
"808","Armstrong County, PA",42005,1642,205383,799.5,"713.7",0.3893,"2"
"809","Hood County, TX",48221,1015,161289,629.3,"575.3",0.3902,"2"
"810","Grant County, IN",18053,1304,182831,713.2,"677.1",0.3901,"2"
"811","Lincoln County, OR",41041,945,155394,608.1,"601.7",0.3913,"2"
"812","Tioga County, NY",36107,811,143904,563.6,"587.1",0.3916,"2"
"813","Union County, OH",39159,533,116443,457.7,"600",0.3931,"2"
"814","Franklin County, VT",50011,597,123188,484.6,"584.6",0.3934,"2"
"815","Lincoln County, SD",46083,335,91983,364.2,"403.8",0.3959,"2"
"816","Williamson County, IL",17199,1231,176315,698.2,"671.9",0.396,"2"
"817","Worcester County, MD",24047,1137,169403,671.2,"607.5",0.3962,"2"
"818","Gila County, AZ",4007,1188,172550,688.5,"639.2",0.399,"2"
"819","Barrow County, GA",13013,820,143290,572.3,"713.7",0.3994,"2"
"820","Lee County, MS",28081,1536,195955,783.9,"817.9",0.4,"2"
"821","Haywood County, NC",37087,1347,183355,734.6,"666.9",0.4006,"2"
"822","Greenwood County, SC",45047,1210,173586,697.1,"652.6",0.4016,"2"
"823","Venango County, PA",42121,1071,162936,657.3,"618.5",0.4034,"2"
"824","Washington County, VA",51191,1044,160765,649.4,"686.3",0.4039,"2"
"825","Wise County, TX",48497,899,149136,602.8,"760.9",0.4042,"2"
"826","Ravalli County, MT",30081,656,127330,515.2,"510.4",0.4046,"2"
"827","Carbon County, PA",42025,1498,191904,780.6,"733.8",0.4068,"2"
"828","Jefferson County, WV",54037,752,135869,553.5,"704.1",0.4074,"2"
"829","Teller County, CO",8119,237,76179,311.1,"574.4",0.4084,"2"
"830","Somerset County, ME",23025,953,152400,625.3,"674.9",0.4103,"2"
"831","Lonoke County, AR",5085,958,152541,628,"748",0.4117,"2"
"832","Laurens County, SC",45059,1258,174738,719.9,"726.2",0.412,"2"
"833","Sauk County, WI",55111,1124,164869,681.8,"621",0.4135,"2"
"834","Sandusky County, OH",39143,1093,162549,672.4,"647.7",0.4137,"2"
"835","San Patricio County, TX",48409,950,151388,627.5,"681",0.4145,"2"
"836","Cullman County, AL",1043,1878,212705,882.9,"942.8",0.4151,"2"
"837","Vermilion County, IL",17183,1890,213153,886.7,"825.6",0.416,"2"
"838","Harrison County, TX",48203,1092,161953,674.3,"719.9",0.4164,"2"
"839","Campbell County, VA",51031,934,149723,623.8,"642.9",0.4166,"2"
"840","Jessamine County, KY",21113,534,113121,472.1,"513.8",0.4173,"2"
"841","Boone County, IL",17007,660,125725,525,"620.9",0.4176,"2"
"842","Harrison County, WV",54033,1515,190478,795.4,"755",0.4176,"2"
"843","Putnam County, TN",47141,1258,173430,725.4,"723.4",0.4183,"2"
"844","Marion County, OH",39101,1262,173668,726.7,"743.9",0.4184,"2"
"845","St. Landry Parish, LA",22097,1724,202916,849.6,"894",0.4187,"2"
"846","Stevens County, WA",53065,736,132477,555.6,"633.3",0.4194,"2"
"847","Blue Earth County, MN",27013,732,131889,555,"472.7",0.4208,"2"
"848","Roane County, TN",47145,1120,163051,686.9,"666.5",0.4213,"2"
"849","Greene County, TN",47059,1618,195626,827.1,"864.9",0.4228,"2"
"850","Otsego County, NY",36077,1215,169459,717,"654.6",0.4231,"2"
"851","Bowie County, TX",48037,2167,226204,958,"939.2",0.4235,"2"
"852","Jefferson County, WA",53031,551,113938,483.6,"449.3",0.4244,"2"
"853","Salem County, NJ",34033,1338,177485,753.9,"712.1",0.4248,"2"
"854","Windham County, VT",50025,763,133981,569.5,"595.2",0.4251,"2"
"855","Liberty County, TX",48291,1330,176632,753,"908",0.4263,"2"
"856","Knox County, ME",23013,668,125085,534,"468.6",0.4269,"2"
"857","Montcalm County, MI",26117,1130,162726,694.4,"743.4",0.4267,"2"
"858","Coryell County, TX",48099,663,124582,532.2,"707.2",0.4272,"2"
"859","Lyon County, NV",32019,881,143602,613.5,"716",0.4272,"2"
"860","Campbell County, WY",56005,366,92535,395.5,"718.5",0.4274,"2"
"861","Butler County, KS",20015,1094,159838,684.4,"696.2",0.4282,"2"
"862","Liberty County, GA",13179,443,101605,436,"632.9",0.4291,"2"
"863","Culpeper County, VA",51047,573,115553,495.9,"594.2",0.4292,"2"
"864","Camden County, MO",29029,919,146133,628.9,"709.9",0.4304,"2"
"865","Sampson County, NC",37163,1082,158551,682.4,"704.7",0.4304,"2"
"866","Juneau Borough, AK",2110,254,76787,330.8,"511.9",0.4308,"2"
"867","Sullivan County, NH",33019,718,128869,557.2,"569.4",0.4324,"2"
"868","Calumet County, WI",55015,631,120770,522.5,"595.9",0.4326,"2"
"869","Duplin County, NC",37061,931,146690,634.7,"669.3",0.4327,"2"
"870","Bristol County, RI",44001,880,142359,618.2,"516.4",0.4343,"2"
"871","Carter County, TN",47019,1142,162099,704.5,"701.7",0.4346,"2"
"872","Cape Girardeau County, MO",29031,1473,183929,800.9,"719.2",0.4354,"2"
"873","St. Charles Parish, LA",22089,660,123108,536.1,"710.4",0.4355,"2"
"874","Cass County, MI",26027,980,149939,653.6,"703.5",0.4359,"2"
"875","Bonner County, ID",16017,711,127510,557.6,"630.6",0.4373,"2"
"876","Cattaraugus County, NY",36009,2027,215248,941.7,"927.1",0.4375,"2"
"877","Teton County, WY",56039,111,50368,220.4,"320.4",0.4376,"2"
"878","Rutherford County, NC",37161,1594,190813,835.4,"827.1",0.4378,"2"
"879","Pulaski County, KY",21199,1288,171316,751.8,"787.7",0.4388,"2"
"880","Dearborn County, IN",18029,756,131049,576.9,"667.9",0.4402,"2"
"881","Ogle County, IL",17141,900,142513,631.5,"623.3",0.4431,"2"
"882","Huron County, OH",39077,989,149366,662.1,"700.3",0.4433,"2"
"883","Wayne County, IN",18177,1482,182568,811.8,"737.1",0.4447,"2"
"884","Genesee County, NY",36037,1201,164311,730.9,"677.8",0.4448,"2"
"885","Clay County, MN",27027,696,125040,556.6,"500.4",0.4451,"2"
"886","Jackson County, GA",13157,876,140255,624.6,"775.2",0.4453,"2"
"887","Tooele County, UT",49045,438,99102,442,"577.8",0.446,"2"
"888","Tipton County, TN",47167,911,142885,637.6,"788.2",0.4462,"2"
"889","Itasca County, MN",27061,845,137584,614.2,"568.1",0.4464,"2"
"890","Franklin County, KY",21073,749,129467,578.5,"617.4",0.4468,"2"
"891","Adams County, IL",17001,1472,181283,812,"650.2",0.4479,"2"
"892","Rio Arriba County, NM",35039,485,104052,466.1,"516.5",0.4479,"2"
"893","Pike County, KY",21195,1297,170092,762.5,"874",0.4483,"2"
"894","Effingham County, GA",13103,594,115041,516.3,"723.6",0.4488,"2"
"895","Yuba County, CA",6115,995,148670,669.3,"797.6",0.4502,"2"
"896","Laurel County, KY",21125,970,146653,661.4,"768.9",0.451,"2"
"897","Creek County, OK",40037,1540,184761,833.5,"867.8",0.4511,"2"
"898","Blaine County, ID",16013,147,57029,257.8,"404.9",0.4521,"2"
"899","Herkimer County, NY",36043,1489,181431,820.7,"721.7",0.4523,"2"
"900","Newaygo County, MI",26123,794,132476,599.4,"633.5",0.4525,"2"
"901","Tuscola County, MI",26157,1079,154374,699,"716.7",0.4528,"2"
"902","Elko County, NV",32007,507,105780,479.3,"702.5",0.4531,"2"
"903","Wilson County, TX",48493,590,114149,516.9,"592.5",0.4528,"2"
"904","Hawkins County, TN",47073,1163,159763,728,"777.5",0.4557,"2"
"905","Burnet County, TX",48053,730,126390,577.6,"545.2",0.457,"2"
"906","Hamblen County, TN",47063,1211,162693,744.3,"762.8",0.4575,"2"
"907","Jefferson County, TN",47089,924,142004,650.7,"703.5",0.4582,"2"
"908","Iberia Parish, LA",22045,1362,172299,790.5,"887.6",0.4588,"2"
"909","Lauderdale County, MS",28075,1716,193228,888.1,"874.8",0.4596,"2"
"910","Warren County, IA",19181,615,115659,531.7,"538.9",0.4597,"2"
"911","Greene County, NY",36039,971,144920,670,"668.9",0.4623,"2"
"912","Boone County, IN",18011,930,141808,655.8,"745.5",0.4625,"2"
"913","White County, AR",5145,1549,182778,847.5,"863.9",0.4637,"2"
"914","Grand Forks County, ND",38035,829,133677,620.2,"619",0.464,"2"
"915","Wayne County, PA",42127,1215,161573,752,"777.8",0.4654,"2"
"916","Isanti County, MN",27059,413,94191,438.5,"474.3",0.4655,"2"
"917","Watauga County, NC",37189,564,110066,512.4,"521.4",0.4655,"2"
"918","Kerr County, TX",48265,1179,159072,741.2,"553",0.466,"2"
"919","Whiteside County, IL",17195,1216,161484,753,"652.2",0.4663,"2"
"920","Scioto County, OH",39145,1903,201665,943.6,"917",0.4679,"2"
"921","Saline County, KS",20169,898,138501,648.4,"604",0.4682,"2"
"922","Knox County, OH",39083,1119,154618,723.7,"710.6",0.4681,"2"
"923","Pickaway County, OH",39129,888,137621,645.3,"724",0.4689,"2"
"924","Davie County, NC",37059,650,117680,552.3,"544.3",0.4693,"2"
"925","Lawrence County, OH",39087,1264,164090,770.3,"808.3",0.4694,"2"
"926","Crawford County, AR",5033,1082,151583,713.8,"801.6",0.4709,"2"
"927","Lee County, NC",37105,936,140759,665,"683.1",0.4724,"2"
"928","Pottawatomie County, OK",40125,1379,170531,808.7,"840.1",0.4742,"2"
"929","Columbia County, PA",42037,1458,175331,831.6,"750.7",0.4743,"2"
"930","Henry County, VA",51089,1232,161067,764.9,"729.5",0.4749,"2"
"931","Robertson County, TN",47147,1232,161016,765.1,"946",0.4752,"2"
"932","Sweetwater County, WY",56037,410,92873,441.5,"629.7",0.4754,"2"
"933","Winona County, MN",27169,677,119314,567.4,"509.2",0.4756,"2"
"934","Stanly County, NC",37167,1239,161391,767.7,"794.3",0.4757,"2"
"935","Chaves County, NM",35005,1116,152643,731.1,"685.9",0.479,"2"
"936","Troup County, GA",13285,1192,157712,755.8,"789.8",0.4792,"2"
"937","Angelina County, TX",48005,2014,204911,982.9,"982",0.4797,"2"
"938","Jones County, MS",28067,1303,164802,790.6,"804.6",0.4797,"2"
"939","Blount County, AL",1009,1031,146452,704,"756.3",0.4807,"2"
"940","Walla Walla County, WA",53071,1001,144128,694.5,"559.4",0.4819,"2"
"941","Lincoln County, MO",29113,724,122698,590.1,"733.8",0.4809,"2"
"942","Osage County, OK",40113,848,132449,640.2,"698.4",0.4834,"2"
"943","Bulloch County, GA",13031,756,124960,605,"702.1",0.4842,"2"
"944","Stephenson County, IL",17177,910,137022,664.1,"544.7",0.4847,"2"
"945","Forrest County, MS",28035,1150,153793,747.8,"750.8",0.4862,"2"
"946","Stokes County, NC",37169,888,135040,657.6,"698.3",0.487,"2"
"947","Belmont County, OH",39013,1988,201999,984.2,"862.1",0.4872,"2"
"948","Siskiyou County, CA",6093,956,139809,683.8,"652.7",0.4891,"2"
"949","Hardin County, TX",48199,907,136157,666.1,"734.6",0.4892,"2"
"950","Ward County, ND",38101,877,133698,656,"576.2",0.4907,"2"
"951","Douglas County, WI",55031,671,116919,573.9,"585.6",0.4909,"2"
"952","Spalding County, GA",13255,1186,155244,764,"815.5",0.4921,"2"
"953","Polk County, WI",55095,778,125706,618.9,"610.5",0.4923,"2"
"954","Fremont County, CO",8043,912,136084,670.2,"660",0.4925,"2"
"955","Manassas city, VA",51683,279,75237,370.8,"548.4",0.4928,"2"
"956","Okanogan County, WA",53047,686,117840,582.1,"593.1",0.494,"2"
"957","Perry County, PA",42099,761,123961,613.9,"720.1",0.4952,"2"
"958","Goodhue County, MN",27049,837,129999,643.9,"538.8",0.4953,"2"
"959","Newton County, MO",29145,1134,151303,749.5,"755.4",0.4954,"2"
"960","Pearl River County, MS",28109,1014,143012,709,"773.6",0.4958,"2"
"961","Pope County, AR",5115,1021,143355,712.2,"747.8",0.4968,"2"
"962","Lea County, NM",35025,883,133119,663.3,"732.8",0.4983,"2"
"963","Waldo County, ME",23027,665,115322,576.6,"628.9",0.5,"2"
"964","Grand County, CO",8049,82,40445,202.7,"389",0.5012,"2"
"965","Sagadahoc County, ME",23023,554,104870,528.3,"547.6",0.5038,"2"
"966","Dare County, NC",37055,515,101090,509.4,"619.3",0.5039,"2"
"967","Carson City, NV",32510,1171,152377,768.5,"717.6",0.5043,"2"
"968","Addison County, VT",50001,522,101677,513.4,"542.9",0.5049,"2"
"969","Lenoir County, NC",37107,1326,161798,819.5,"824",0.5065,"2"
"970","Mercer County, WV",54055,1549,174875,885.8,"818.6",0.5065,"2"
"971","Maverick County, TX",48323,557,104816,531.4,"583.2",0.507,"2"
"972","Prince George County, VA",51149,361,84375,427.9,"570.9",0.5071,"2"
"973","Payne County, OK",40119,1006,140810,714.4,"702.6",0.5074,"2"
"974","Jefferson County, AR",5069,1773,186499,950.7,"978.3",0.5098,"2"
"975","DeKalb County, AL",1049,1522,172766,881,"954",0.5099,"2"
"976","Darlington County, SC",45031,1633,178931,912.6,"979.3",0.51,"2"
"977","Jefferson County, OH",39081,2074,201385,1029.9,"949.3",0.5114,"2"
"978","Walker County, AL",1127,1684,181132,929.7,"987.7",0.5133,"2"
"979","Amador County, CA",6005,815,125973,647,"604.9",0.5136,"2"
"980","Kandiyohi County, MN",27067,646,112084,576.4,"468.2",0.5143,"2"
"981","Hancock County, MS",28045,759,121328,625.6,"713.4",0.5156,"2"
"982","Henry County, IL",17073,1002,139392,718.8,"649.9",0.5157,"2"
"983","Lamar County, MS",28073,724,118464,611.2,"726.7",0.5159,"2"
"984","Scott County, KY",21209,553,103451,534.6,"709.3",0.5168,"2"
"985","Susquehanna County, PA",42115,885,130664,677.3,"691.4",0.5184,"2"
"986","St. Mary Parish, LA",22101,908,132493,685.3,"765.8",0.5172,"2"
"987","Allegany County, MD",24001,2083,200432,1039.3,"890.6",0.5185,"2"
"988","Fulton County, NY",36035,1211,152787,792.6,"737.1",0.5188,"2"
"989","Huntingdon County, PA",42061,823,125915,653.6,"638.6",0.5191,"2"
"990","Gloucester County, VA",51073,574,105087,546.2,"625.1",0.5198,"2"
"991","Lowndes County, MS",28087,1037,141066,735.1,"762.9",0.5211,"2"
"992","Pierce County, WI",55093,457,93647,488,"564.8",0.5211,"2"
"993","Beltrami County, MN",27007,554,103042,537.6,"520.2",0.5217,"2"
"994","Oconee County, GA",13219,359,82888,433.1,"555.5",0.5225,"2"
"995","Isle of Wight County, VA",51093,562,103589,542.5,"633.2",0.5237,"2"
"996","Lincoln County, ME",23015,681,114011,597.3,"527.9",0.5239,"2"
"997","Riley County, KS",20161,491,96742,507.5,"466.5",0.5246,"2"
"998","Beaufort County, NC",37013,1038,140548,738.5,"737.6",0.5254,"2"
"999","Callaway County, MO",29027,623,108877,572.2,"651.9",0.5255,"2"
"1000","Walker County, GA",13295,1669,178162,936.8,"986.8",0.5258,"2"
"1001","Fayette County, TN",47047,635,109854,578,"665",0.5262,"2"
"1002","St. Martin Parish, LA",22099,819,124692,656.8,"783.4",0.5267,"2"
"1003","Taney County, MO",29213,1077,142921,753.6,"764.9",0.5273,"2"
"1004","Jackson County, NC",37099,529,100154,528.2,"554.6",0.5274,"2"
"1005","Barron County, WI",55005,923,132219,698.1,"608.6",0.528,"2"
"1006","Cortland County, NY",36023,734,117727,623.5,"619.8",0.5296,"2"
"1007","Marion County, WV",54049,1238,152719,810.6,"735.7",0.5308,"2"
"1008","Halifax County, NC",37083,1199,150280,797.8,"781.9",0.5309,"2"
"1009","Alexander County, NC",37003,541,100892,536.2,"588.6",0.5315,"2"
"1010","Medina County, TX",48325,735,117378,626.2,"678",0.5335,"2"
"1011","St. Francois County, MO",29187,1410,162564,867.4,"892.1",0.5336,"2"
"1012","Harrison County, IN",18061,582,104390,557.5,"621.6",0.5341,"2"
"1013","Shenandoah County, VA",51171,795,121808,652.7,"599.5",0.5358,"2"
"1014","Montrose County, CO",8085,732,116820,626.6,"564.4",0.5364,"2"
"1015","Franklin County, NY",36033,920,130908,702.8,"779",0.5369,"2"
"1016","Eddy County, NM",35015,939,132165,710.5,"699.6",0.5376,"2"
"1017","St. Joseph County, MI",26149,1325,156957,844.2,"826.6",0.5379,"2"
"1018","Louisa County, VA",51109,495,95915,516.1,"641.7",0.5381,"2"
"1019","Monroe County, TN",47123,840,124748,673.4,"719.1",0.5398,"2"
"1020","Madison County, OH",39097,624,107440,580.8,"681.5",0.5406,"2"
"1021","Brown County, OH",39015,746,117426,635.3,"683.1",0.541,"2"
"1022","Ottawa County, OH",39123,923,130478,707.4,"681.3",0.5422,"2"
"1023","Cass County, MN",27021,446,90716,491.6,"484.1",0.5419,"2"
"1024","Essex County, NY",36031,761,118340,643.1,"592.2",0.5434,"2"
"1025","Gordon County, GA",13129,867,126348,686.2,"831.7",0.5431,"2"
"1026","Bedford County, PA",42009,1152,145510,791.7,"725.6",0.5441,"2"
"1027","Van Zandt County, TX",48467,1191,147954,805,"798.1",0.5441,"2"
"1028","Noble County, IN",18113,729,115695,630.1,"668",0.5446,"2"
"1029","Powhatan County, VA",51145,328,77580,422.8,"631.6",0.545,"2"
"1030","Isabella County, MI",26073,905,128535,704.1,"727",0.5478,"2"
"1031","Green County, WI",55045,561,101111,554.8,"533.5",0.5487,"2"
"1032","Edgecombe County, NC",37065,1195,147511,810.1,"839.6",0.5492,"2"
"1033","Mifflin County, PA",42087,958,131947,726,"631.8",0.5502,"2"
"1034","Levy County, FL",12075,835,123175,677.9,"691.4",0.5504,"2"
"1035","Wayne County, WV",54099,727,114884,632.8,"646.1",0.5508,"2"
"1036","Logan County, OK",40083,623,106326,585.9,"653.6",0.551,"2"
"1037","McDowell County, NC",37111,856,124421,688,"697.6",0.553,"2"
"1038","Grady County, OK",40051,970,132295,733.2,"828.4",0.5542,"2"
"1039","Nelson County, KY",21179,630,106581,591.1,"710.7",0.5546,"2"
"1040","Russell County, AL",1113,894,126937,704.3,"762.3",0.5548,"2"
"1041","Clatsop County, OR",41007,649,108035,600.7,"611.4",0.556,"2"
"1042","Harris County, GA",13145,449,89860,499.7,"610",0.5561,"2"
"1043","Nicollet County, MN",27103,319,75732,421.2,"414.1",0.5562,"2"
"1044","Gadsden County, FL",12039,801,119948,667.8,"729.9",0.5567,"2"
"1045","Starr County, TX",48427,679,110428,614.9,"647.2",0.5568,"2"
"1046","Lynchburg city, VA",51680,1425,159944,890.9,"720.1",0.557,"2"
"1047","Shelby County, OH",39149,833,122080,682.3,"719.2",0.5589,"2"
"1048","Marshall County, IN",18099,793,119083,665.9,"617.5",0.5592,"2"
"1049","Orange County, VA",51137,515,95950,536.7,"530.3",0.5594,"2"
"1050","Anderson County, TX",48001,1113,140939,789.7,"909",0.5603,"2"
"1051","Dunn County, WI",55033,559,99854,559.8,"528.9",0.5606,"2"
"1052","Wyoming County, NY",36121,700,111715,626.6,"708",0.5609,"2"
"1053","Monroe County, WI",55081,757,116119,651.9,"659.9",0.5614,"2"
"1054","Garfield County, OK",40047,1264,150008,842.6,"769.8",0.5617,"2"
"1055","Grundy County, IL",17063,729,113838,640.4,"733.6",0.5626,"2"
"1056","Delaware County, NY",36025,1188,145309,817.6,"756.5",0.5627,"2"
"1057","Nacogdoches County, TX",48347,1005,133529,752.6,"755.3",0.5636,"2"
"1058","Talbot County, MD",24041,855,123135,694.4,"562",0.5639,"2"
"1059","Tioga County, PA",42117,806,119533,674.3,"646.9",0.5641,"2"
"1060","Camden County, GA",13039,588,102067,576.1,"803",0.5644,"2"
"1061","Cherokee County, SC",45021,1063,137211,774.7,"814.9",0.5646,"2"
"1062","Grant County, WI",55043,908,126676,716.8,"612.2",0.5659,"2"
"1063","Habersham County, GA",13137,672,108970,616.7,"623.1",0.5659,"2"
"1064","Shawano County, WI",55115,823,120535,682.8,"614",0.5665,"2"
